
 [START 2018-12-18 00:34:16] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------

 [START 2018-12-18 20:56:16] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------


best    0.0    0.0         |         0.205  0.168           |         0.118  0.2436         |         0.118041  0.243557    |  0 hr 09 min


best    1.0    1.0         |         0.114  0.273           |         0.104  0.2901         |         0.103959  0.290063    |  0 hr 17 min


best    2.0    2.0         |         0.103  0.307           |         0.096  0.3186         |         0.095923  0.318624    |  0 hr 25 min


best    3.0    3.0         |         0.097  0.327           |         0.089  0.3423         |         0.088895  0.342298    |  0 hr 32 min


best    4.0    4.0         |         0.092  0.339           |         0.085  0.3448         |         0.085097  0.344778    |  0 hr 40 min


best    5.0    5.0         |         0.089  0.347           |         0.084  0.3490         |         0.084265  0.348996    |  0 hr 47 min


best    6.0    6.0         |         0.086  0.356           |         0.083  0.3569         |         0.082647  0.356907    |  0 hr 55 min


best    7.0    7.0         |         0.083  0.361           |         0.080  0.3565         |         0.080435  0.356907    |  1 hr 03 min


best    8.0    8.0         |         0.081  0.368           |         0.085  0.3555         |         0.080435  0.356907    |  1 hr 11 min


best    9.0    9.0         |         0.080  0.373           |         0.082  0.3498         |         0.080435  0.356907    |  1 hr 19 min


best   10.0   10.0         |         0.072  0.394           |         0.071  0.3865         |         0.071427  0.386510    |  1 hr 27 min


best   11.0   11.0         |         0.069  0.399           |         0.071  0.3868         |         0.070725  0.386827    |  1 hr 35 min


best   12.0   12.0         |         0.068  0.403           |         0.071  0.3880         |         0.070725  0.388038    |  1 hr 42 min


best   13.0   13.0         |         0.067  0.404           |         0.070  0.3917         |         0.070020  0.391707    |  1 hr 50 min


best   14.0   14.0         |         0.066  0.407           |         0.070  0.3941         |         0.070020  0.394057    |  1 hr 58 min


best   15.0   15.0         |         0.065  0.409           |         0.070  0.3933         |         0.069590  0.394057    |  2 hr 05 min


best   16.0   16.0         |         0.064  0.409           |         0.070  0.3939         |         0.069590  0.394057    |  2 hr 13 min


best   17.0   17.0         |         0.063  0.412           |         0.069  0.3947         |         0.069325  0.394724    |  2 hr 20 min


best   18.0   18.0         |         0.063  0.415           |         0.070  0.3923         |         0.069325  0.394724    |  2 hr 28 min


best   19.0   19.0         |         0.062  0.417           |         0.070  0.3959         |         0.069325  0.395867    |  2 hr 35 min


best   20.0   20.0         |         0.061  0.418           |         0.069  0.3988         |         0.069042  0.398839    |  2 hr 43 min


best   21.0   21.0         |         0.060  0.422           |         0.069  0.3971         |         0.069042  0.398839    |  2 hr 51 min


best   22.0   22.0         |         0.060  0.420           |         0.069  0.3980         |         0.068901  0.398839    |  2 hr 58 min


best   23.0   23.0         |         0.060  0.423           |         0.069  0.3980         |         0.068706  0.398839    |  3 hr 06 min
