
 [START 2018-12-23 19:19:12] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------


best    0.0    0.0         |         0.212  0.141           |         0.126  0.2141         |         0.126267  0.214100    |  0 hr 07 min


best    1.0    1.0         |         0.126  0.237           |         0.107  0.2745         |         0.106787  0.274548    |  0 hr 14 min


best    2.0    2.0         |         0.112  0.278           |         0.099  0.2946         |         0.099291  0.294612    |  0 hr 21 min


best    3.0    3.0         |         0.104  0.303           |         0.102  0.2932         |         0.099291  0.294612    |  0 hr 28 min


best    4.0    4.0         |         0.099  0.317           |         0.096  0.3113         |         0.096158  0.311310    |  0 hr 34 min


best    5.0    5.0         |         0.094  0.333           |         0.095  0.3084         |         0.094771  0.311310    |  0 hr 40 min


best    6.0    6.0         |         0.090  0.344           |         0.090  0.3381         |         0.089747  0.338112    |  0 hr 46 min

 [START 2018-12-23 23:16:05] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------


best    0.0    0.0         |         0.203  0.147           |         0.137  0.2232         |         0.136900  0.223238    |  0 hr 09 min


best    1.0    1.0         |         0.132  0.270           |         0.115  0.3158         |         0.114851  0.315848    |  0 hr 18 min


best    2.0    2.0         |         0.115  0.328           |         0.108  0.3412         |         0.107761  0.341209    |  0 hr 28 min


best    3.0    3.0         |         0.105  0.356           |         0.095  0.3780         |         0.094685  0.377967    |  0 hr 37 min


best    4.0    4.0         |         0.097  0.381           |         0.091  0.3945         |         0.090607  0.394455    |  0 hr 46 min


best    5.0    5.0         |         0.091  0.399           |         0.086  0.4069         |         0.085679  0.406879    |  0 hr 56 min


best    6.0    6.0         |         0.085  0.415           |         0.084  0.4217         |         0.084449  0.421704    |  1 hr 06 min


best    7.0    7.0         |         0.080  0.424           |         0.076  0.4330         |         0.075992  0.433027    |  1 hr 15 min


best    8.0    8.0         |         0.076  0.437           |         0.083  0.4296         |         0.075992  0.433027    |  1 hr 24 min


best    9.0    9.0         |         0.072  0.447           |         0.070  0.4474         |         0.070231  0.447382    |  1 hr 33 min


best   10.0   10.0         |         0.057  0.482           |         0.054  0.4829         |         0.054044  0.482861    |  1 hr 43 min


best   11.0   11.0         |         0.052  0.494           |         0.051  0.4901         |         0.050809  0.490065    |  1 hr 52 min


best   12.0   12.0         |         0.049  0.500           |         0.050  0.4956         |         0.049583  0.495584    |  2 hr 01 min


best   13.0   13.0         |         0.046  0.505           |         0.048  0.4999         |         0.047795  0.499859    |  2 hr 11 min


best   14.0   14.0         |         0.044  0.512           |         0.046  0.5056         |         0.045813  0.505580    |  2 hr 20 min


best   15.0   15.0         |         0.042  0.515           |         0.044  0.5074         |         0.043849  0.507382    |  2 hr 29 min


